pull_request_id,reviewer_id,created_at,updated_at
pr-test_backend-open-1-dp5gjl,tb6,2025-10-27 00:34:54,2025-10-27 02:00:54
pr-test_backend-open-1-dp5gjl,tb7,2025-10-27 00:34:54,2025-10-27 02:00:54
pr-test_backend-open-2-b8ic8b,tb3,2025-11-15 07:00:54,2025-11-15 07:51:54
pr-test_backend-open-2-b8ic8b,tb10,2025-11-15 07:00:54,2025-11-15 07:51:54
pr-test_backend-open-3-8qjnv8,tb4,2025-10-14 23:41:54,2025-10-15 03:00:54
pr-test_backend-open-3-8qjnv8,tb7,2025-10-14 23:41:54,2025-10-15 03:00:54
pr-test_backend-open-4-7hv3iz,tb6,2025-11-03 01:21:54,2025-11-03 03:54:54
pr-test_backend-open-4-7hv3iz,tb10,2025-11-03 01:21:54,2025-11-03 03:54:54
pr-test_backend-open-5-cxaprp,tb1,2025-10-31 06:56:54,2025-10-31 08:53:54
pr-test_backend-open-5-cxaprp,tb7,2025-10-31 06:56:54,2025-10-31 08:53:54
pr-test_backend-open-6-p0j43d,tb5,2025-10-27 04:29:54,2025-10-27 07:41:54
pr-test_backend-open-6-p0j43d,tb2,2025-10-27 04:29:54,2025-10-27 07:41:54
pr-test_backend-open-7-mjkv5u,tb1,2025-10-24 04:21:54,2025-10-24 04:42:54
pr-test_backend-open-7-mjkv5u,tb6,2025-10-24 04:21:54,2025-10-24 04:42:54
pr-test_backend-open-8-qakoix,tb1,2025-10-30 22:47:54,2025-10-31 01:08:54
pr-test_backend-open-8-qakoix,tb7,2025-10-30 22:47:54,2025-10-31 01:08:54
pr-test_backend-merged-1-lizl08,tb2,2025-10-24 10:17:54,2025-10-24 11:51:54
pr-test_backend-merged-1-lizl08,tb4,2025-10-24 10:17:54,2025-10-24 11:51:54
pr-test_backend-merged-2-igatj9,tb7,2025-10-29 15:11:54,2025-10-29 17:02:54
pr-test_backend-merged-2-igatj9,tb4,2025-10-29 15:11:54,2025-10-29 17:02:54
pr-test_backend-merged-3-m8j5ec,tb7,2025-11-01 07:09:54,2025-11-01 07:28:54
pr-test_backend-merged-3-m8j5ec,tb6,2025-11-01 07:09:54,2025-11-01 07:28:54
pr-test_backend-merged-4-n6kvpu,tb10,2025-11-14 09:27:54,2025-11-14 09:53:54
pr-test_backend-merged-4-n6kvpu,tb7,2025-11-14 09:27:54,2025-11-14 09:53:54
pr-team_1-open-1-caqvki,u1_3,2025-10-15 12:51:54,2025-10-15 15:50:54
pr-team_1-open-1-caqvki,u1_5,2025-10-15 12:51:54,2025-10-15 15:50:54
pr-team_1-open-2-eifjfc,u1_6,2025-11-02 18:23:54,2025-11-02 21:34:54
pr-team_1-open-2-eifjfc,u1_2,2025-11-02 18:23:54,2025-11-02 21:34:54
pr-team_1-open-3-z7srcb,u1_2,2025-10-28 03:05:54,2025-10-28 04:27:54
pr-team_1-open-3-z7srcb,u1_7,2025-10-28 03:05:54,2025-10-28 04:27:54
pr-team_1-open-4-u1gspk,u1_6,2025-10-21 02:21:54,2025-10-21 05:03:54
pr-team_1-open-4-u1gspk,u1_3,2025-10-21 02:21:54,2025-10-21 05:03:54
pr-team_1-open-5-ldforx,u1_5,2025-10-29 13:40:54,2025-10-29 16:00:54
pr-team_1-open-5-ldforx,u1_7,2025-10-29 13:40:54,2025-10-29 16:00:54
pr-team_1-open-6-8os9xt,u1_1,2025-10-28 20:41:54,2025-10-28 21:29:54
pr-team_1-open-6-8os9xt,u1_3,2025-10-28 20:41:54,2025-10-28 21:29:54
pr-team_1-open-7-ht7pze,u1_5,2025-10-19 02:16:54,2025-10-19 03:17:54
pr-team_1-open-7-ht7pze,u1_9,2025-10-19 02:16:54,2025-10-19 03:17:54
pr-team_1-open-8-i4e8xf,u1_9,2025-10-15 02:21:54,2025-10-15 04:31:54
pr-team_1-open-8-i4e8xf,u1_1,2025-10-15 02:21:54,2025-10-15 04:31:54
pr-team_1-merged-1-tn7s55,u1_6,2025-11-06 08:49:54,2025-11-06 10:29:54
pr-team_1-merged-1-tn7s55,u1_2,2025-11-06 08:49:54,2025-11-06 10:29:54
pr-team_1-merged-2-qrl1n7,u1_6,2025-10-19 04:03:54,2025-10-19 04:52:54
pr-team_1-merged-2-qrl1n7,u1_9,2025-10-19 04:03:54,2025-10-19 04:52:54
pr-team_1-merged-3-nx39rb,u1_2,2025-10-29 04:41:54,2025-10-29 04:53:54
pr-team_1-merged-3-nx39rb,u1_3,2025-10-29 04:41:54,2025-10-29 04:53:54
pr-team_1-merged-4-58c2jw,u1_1,2025-11-03 10:39:54,2025-11-03 11:21:54
pr-team_1-merged-4-58c2jw,u1_3,2025-11-03 10:39:54,2025-11-03 11:21:54
pr-team_2-open-1-bcw790,u2_5,2025-10-27 22:15:54,2025-10-28 01:29:54
pr-team_2-open-1-bcw790,u2_6,2025-10-27 22:15:54,2025-10-28 01:29:54
pr-team_2-open-2-knftu2,u2_9,2025-11-08 22:54:54,2025-11-08 23:14:54
pr-team_2-open-2-knftu2,u2_2,2025-11-08 22:54:54,2025-11-08 23:14:54
pr-team_2-open-3-qjja26,u2_1,2025-10-16 22:02:54,2025-10-16 22:42:54
pr-team_2-open-3-qjja26,u2_9,2025-10-16 22:02:54,2025-10-16 22:42:54
pr-team_2-open-4-qk94dn,u2_2,2025-10-31 10:13:54,2025-10-31 11:28:54
pr-team_2-open-4-qk94dn,u2_9,2025-10-31 10:13:54,2025-10-31 11:28:54
pr-team_2-open-5-0361i2,u2_4,2025-11-06 19:20:54,2025-11-06 20:08:54
pr-team_2-open-5-0361i2,u2_9,2025-11-06 19:20:54,2025-11-06 20:08:54
pr-team_2-open-6-ne6loh,u2_1,2025-10-23 04:13:54,2025-10-23 06:28:54
pr-team_2-open-6-ne6loh,u2_8,2025-10-23 04:13:54,2025-10-23 06:28:54
pr-team_2-open-7-qc1iyy,u2_9,2025-10-29 16:08:54,2025-10-29 17:41:54
pr-team_2-open-7-qc1iyy,u2_6,2025-10-29 16:08:54,2025-10-29 17:41:54
pr-team_2-open-8-n0jnwn,u2_4,2025-10-16 23:43:54,2025-10-17 01:43:54
pr-team_2-open-8-n0jnwn,u2_9,2025-10-16 23:43:54,2025-10-17 01:43:54
